cliente,total_gasto,segmento
Cliente_001,8901.85,Prata
Cliente_002,16179.910000000002,Ouro
Cliente_003,12570.189999999999,Prata
Cliente_004,8693.16,Prata
Cliente_005,9379.43,Prata
Cliente_006,13735.72,Prata
Cliente_007,41993.07000000001,Ouro
Cliente_008,17404.5,Ouro
Cliente_009,6320.34,Prata
Cliente_010,20009.329999999998,Ouro
Cliente_011,25937.030000000002,Ouro
Cliente_012,6937.28,Prata
Cliente_013,13572.78,Prata
Cliente_014,22768.58,Ouro
Cliente_015,5098.67,Prata
Cliente_016,3583.5099999999998,Bronze
Cliente_017,11632.080000000002,Prata
Cliente_018,10322.020000000002,Prata
Cliente_019,3003.4300000000003,Bronze
Cliente_020,9572.24,Prata
Cliente_021,46230.84,Ouro
Cliente_022,6977.990000000001,Prata
Cliente_023,5223.0599999999995,Prata
Cliente_024,17114.33,Ouro
Cliente_025,569.04,Bronze
Cliente_026,4394.07,Bronze
Cliente_027,986.5,Bronze
Cliente_028,2265.56,Bronze
Cliente_029,7102.32,Prata
Cliente_030,18584.49,Ouro
Cliente_031,18846.93,Ouro
Cliente_032,8102.12,Prata
Cliente_033,8830.8,Prata
Cliente_034,38499.020000000004,Ouro
Cliente_035,8764.17,Prata
Cliente_037,36807.31,Ouro
Cliente_038,26828.82,Ouro
Cliente_039,58328.07,Ouro
Cliente_040,29534.329999999998,Ouro
Cliente_041,25353.770000000004,Ouro
Cliente_042,32543.059999999998,Ouro
Cliente_043,1502.16,Bronze
Cliente_044,11780.189999999999,Prata
Cliente_045,16787.59,Ouro
Cliente_046,21847.97,Ouro
Cliente_047,611.88,Bronze
Cliente_048,37781.06,Ouro
Cliente_049,5876.16,Prata
Cliente_050,12275.82,Prata
