id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2025-12-01,CLIENTE-034,Headset,Perifericos,Nordeste,9.0,128.02
2,2025-04-17,Cliente_002,Mouse,Perifericos,Sudeste,5.0,57.39
3,2025-04-06,Cliente_007,Smartphone,Celulares,Sudeste,7.0,1344.69
4,2025-04-03,Cliente_013,Headset,Perifericos,Sudeste,4.0,151.14
5,2025-10-18,Cliente_044,Teclado,Perifericos,Nordeste,,85.02
6,2025-09-13,Cliente_044,Smartphone,Celulares,Sudeste,,1187.27
7,2025-05-09,Cliente_030,Smartphone,Celulares,Norte,,1070.81
8,2025-12-22,Cliente_019,Notebook,Computadores,Norte,1.0,2819.13
9,2025-12-02,Cliente_045,Tablet,Celulares,Sul,10.0,905.89
10,2025-12-15,Cliente_045,Teclado,Perifericos,Sul,1.0,86.24
11,2025-10-18,Cliente_045,Headset,Perifericos,Sul,10.0,169.28
12,2025-03-10,Cliente_035,Teclado,Perifericos,Centro-Oeste,2.0,107.54
13,2025-05-02,Cliente_019,Mouse,Perifericos,Sudeste,2.0,45.4
14,2025-05-26,Cliente_039,Mouse,Perifericos,Centro-Oeste,7.0,50.55
15,2025-09-19,Cliente_029,Headset,Perifericos,Sudeste,4.0,159.48
16,2025-11-13,Cliente_024,Monitor,Computadores,Centro-Oeste,3.0,783.25
17,2025-05-14,Cliente_040,Notebook,Computadores,Nordeste,7.0,2146.45
18,DATA INVALIDA,Cliente_004,Teclado,Perifericos,Centro-Oeste,2.0,108.51
19,2025-11-13,Cliente_007,Smartphone,Celulares,Sul,7.0,1280.71
20,2025-01-04,Cliente_027,Teclado,Perifericos,Sudeste,10.0,98.65
21,2025-07-11,Cliente_002,Smartphone,Celulares,Nordeste,8.0,1336.9
22,2025-10-18,Cliente_006,Smartphone,Celulares,Nordeste,5.0,1189.82
23,2025-07-03,Cliente_018,Teclado,Perifericos,Sul,5.0,107.74
24,2025-07-21,Cliente_050,Mouse,Perifericos,Norte,5.0,51.9
25,2025-06-10,Cliente_024,Notebook,Computadores,Sudeste,3.0,2850.55
26,2025-06-19,Cliente_002,Notebook,Computadores,Sul,2.0,2318.28
27,2025-01-11,Cliente_047!!,Teclado,Perifericos,Norte,2.0,107.7
28,2025-04-30,CLIENTE-035,Tablet,Celulares,Nordeste,7.0,1097.17
29,2025-11-05,Cliente_038,Headset,Perifericos,Sudeste,3.0,133.68
30,2025-08-10,Cliente_005,Tablet,Celulares,Nordeste,,1069.97
31,2025-03-01,Cliente_028,Notebook,Computadores,Sul,1.0,2265.56
32,2025-09-04,Cliente_010,Headset,Perifericos,Centro-Oeste,7.0,172.25
33,2025-08-08,Cliente_003,Notebook,Computadores,Sul,4.0,2597.72
34,2025-01-03,Cliente_039,Notebook,Computadores,Sudeste,10.0,2692.61
35,2025-01-24,Cliente_023,Tablet,Celulares,Sudeste,9.0,
36,2025-02-10,Cliente_016,Headset,Perifericos,Norte,2.0,157.51
37,2025-11-15,Cliente_017,Smartphone,Celulares,Nordeste,8.0,
38,2025-09-01,Cliente_020,Smartphone,Celulares,Sul,8.0,1196.53
39,2025-09-25,Cliente_010,Mouse,Perifericos,Nordeste,10.0,49.75
40,2025-08-10,Cliente_007,Teclado,Perifericos,Norte,7.0,94.13
41,2025-06-23,cliente#046,Teclado,Perifericos,Nordeste,8.0,88.22
42,2025-06-22,Cliente_033,Teclado,Perifericos,Sudeste,4.0,
43,2025-09-30,Cliente_005,Notebook,Computadores,Sul,3.0,2762.24
44,2025-11-25,Cliente_040,Tablet,Celulares,Norte,8.0,1074.53
45,2025-02-24,Cliente_018,Smartphone,Celulares,Nordeste,8.0,1188.88
46,2025-07-15,Cliente_025,Teclado,Perifericos,Norte,4.0,109.83
47,2025-06-10,Cliente_041,Tablet,Celulares,Norte,5.0,929.74
48,2025-12-13,Cliente_015,Mouse,Perifericos,Centro-Oeste,7.0,49.35
49,2025-09-18,Cliente_050,Headset,Perifericos,Centro-Oeste,8.0,145.68
50,2025-04-09,Cliente_029,Mouse,Perifericos,Norte,7.0,46.08
51,2025-09-22,Cliente_030,Smartphone,Celulares,Centro-Oeste,5.0,1269.13
52,2025-01-21,Cliente_008,Tablet,Celulares,Norte,9.0,1006.1
53,2025-05-29,Cliente_032,Tablet,Celulares,Nordeste,6.0,1069.22
54,2025-01-01,Cliente_034,Tablet,Celulares,Sul,8.0,983.59
55,2025-03-18,Cliente_043,Mouse,Perifericos,Nordeste,9.0,46.02
56,2025-01-26,Cliente_011,Headset,Perifericos,Centro-Oeste,6.0,143.01
57,2025-06-18,Cliente_014,Monitor,Computadores,Centro-Oeste,10.0,877.34
58,DATA INVALIDA,Cliente_047,Mouse,Perifericos,Norte,8.0,43.9
59,2025-03-01,Cliente_048,Tablet,Celulares,Nordeste,6.0,1109.12
60,2025-11-27,Cliente_015,Smartphone,Celulares,Centro-Oeste,6.0,
61,2025-05-10,Cliente_049,Monitor,Computadores,Norte,6.0,901.67
62,2025-06-29,Cliente_025,Mouse,Perifericos,Centro-Oeste,3.0,43.24
63,2025-08-05,Cliente_046,Mouse,Perifericos,Sudeste,6.0,52.55
64,2025-10-20,Cliente_013,Mouse,Perifericos,Norte,8.0,57.15
65,2025-02-21,Cliente_048,Smartphone,Celulares,Centro-Oeste,4.0,1251.22
66,2025-04-08,Cliente_035,Smartphone,Celulares,Nordeste,,1195.63
67,2025-03-03,Cliente_046,Teclado,Perifericos,Centro-Oeste,4.0,95.45
68,2025-12-19,Cliente_021,Smartphone,Celulares,Centro-Oeste,3.0,1246.08
69,2025-11-22,Cliente_007,Notebook,Computadores,Sudeste,8.0,2433.73
70,2025-07-09,cliente#050,Tablet,Celulares,Norte,2.0,886.2
71,2025-10-02,Cliente_007,Teclado,Perifericos,Nordeste,9.0,92.89
72,2025-12-16,Cliente_010,Teclado,Perifericos,Nordeste,7.0,94.61
73,2025-10-04,Cliente_026,Monitor,Computadores,Sul,2.0,855.02
74,2025-09-22,CLIENTE-034,Notebook,Computadores,Norte,10.0,2505.8
75,2025-01-03,Cliente_024,Mouse,Perifericos,Centro-Oeste,10.0,49.28
76,2025-12-12,Cliente_001,Monitor,Computadores,Sul,9.0,891.71
77,2025-03-11,Cliente_037,  Notebook  ,Computadores,Norte,10.0,2653.77
78,2025-06-15,Cliente_048,Notebook,Computadores,Nordeste,,2872.62
79,2025-04-03,CLIENTE-001,Monitor,Computadores,Sul,1.0,876.46
80,DATA INVALIDA,Cliente_050,Mouse,Perifericos,Centro-Oeste,6.0,47.65
81,2025-09-27, Cliente_048,Headset,Perifericos,Norte,,130.45
82,DATA INVALIDA,Cliente_040,Tablet,Celulares,Centro-Oeste,4.0,1060.81
83,2025-11-21,Cliente_022,Smartphone,Celulares,Centro-Oeste,5.0,1365.18
84,2025-04-19,Cliente_041,Tablet,Celulares,Nordeste,6.0,
85,2025-01-29,Cliente_039,Notebook,Computadores,Sudeste,4.0,2215.82
86,2025-03-28,Cliente_041!!,Mouse,Perifericos,Centro-Oeste,8.0,48.46
87,2025-03-11,Cliente_006,Tablet,Celulares,Sudeste,5.0,939.34
88,2025-03-22,Cliente_039,Headset,Perifericos,Nordeste,,169.74
89,2025-05-15,Cliente_009,Monitor,Computadores,Sul,9.0,702.26
90,2025-08-12,Cliente_050,Mouse,Perifericos,Norte,1.0,57.05
91,2025-10-26,Cliente_033,Smartphone,Celulares,Sudeste,8.0,1103.85
92,2025-04-23,Cliente_041,Tablet,Celulares,Sudeste,10.0,1089.42
93,2025-04-05,CLIENTE-024,Smartphone,Celulares,Nordeste,4.0,1102.6
94,2025-03-04,Cliente_021,Notebook,Computadores,Centro-Oeste,7.0,2130.6
95,2025-09-27,Cliente_030!!,Smartphone,Celulares,Sul,6.0,1125.98
96,2025-05-16,Cliente_004,Monitor,Computadores,Sudeste,4.0,840.84
97,2025-08-06,Cliente_032,Tablet,Celulares,Sul,1.0,904.79
98,2025-05-04,Cliente_045,Notebook,Computadores,Sudeste,1.0,2333.92
99,2025-12-05,Cliente_048,Notebook,Computadores,Sul,8.0,2399.65
100,2025-08-04,Cliente_013,  Tablet  ,Celulares,Sudeste,1.0,881.52
101,2025-09-24,Cliente_011,  Tablet  ,Celulares,Nordeste,4.0,1021.08
102,2025-01-26,Cliente_045,Mouse,Perifericos,Nordeste,4.0,56.56
103,2025-09-01,Cliente_002,Mouse,Perifericos,Nordeste,10.0,56.12
104,2025-11-06,Cliente_043!!,Headset,Perifericos,Centro-Oeste,6.0,137.36
105,2025-02-05,Cliente_048,Mouse,Perifericos,Nordeste,,50.41
106,2025-11-28,Cliente_010,  Smartphone  ,Celulares,Nordeste,9.0,1207.37
107,2025-04-14,Cliente_015,Teclado,Perifericos,Sul,1.0,103.98
108,2025-04-27,Cliente_041,Smartphone,Celulares,Norte,7.0,1346.17
109,2025-05-21,Cliente_024,Mouse,Perifericos,Sudeste,7.0,49.79
110,2025-04-16,Cliente_014,Notebook,Computadores,Sul,,2823.67
111,DATA INVALIDA,Cliente_042,Smartphone,Celulares,Centro-Oeste,6.0,1378.51
112,2025-11-24,Cliente_037,  Monitor  ,Computadores,Nordeste,10.0,720.24
113,2025-05-12,Cliente_016,Teclado,Perifericos,Norte,6.0,92.71
114,2025-11-13,Cliente_050,Teclado,Perifericos,Centro-Oeste,10.0,109.0
115,2025-08-30,Cliente_045,Teclado,Perifericos,Norte,9.0,87.46
116,2025-04-01,Cliente_022,Headset,Perifericos,Norte,1.0,152.09
117,2025-02-13,Cliente_032,  Teclado  ,Perifericos,Nordeste,9.0,86.89
118,2025-02-17,Cliente_047,Mouse,Perifericos,Sudeste,8.0,49.56
119,2025-05-24,Cliente_001,Notebook,Computadores,Sudeste,1.0,
120,2025-11-27,Cliente_039,Notebook,Computadores,Norte,5.0,2446.51
121,DATA INVALIDA,Cliente_021,Teclado,Perifericos,Centro-Oeste,4.0,97.17
122,2025-08-20,Cliente_034,Monitor,Computadores,Norte,3.0,725.56
123,2025-05-04,Cliente_007,Notebook,Computadores,Nordeste,1.0,2650.51
124,2025-08-08,Cliente_011,Smartphone,Celulares,Sul,10.0,1376.91
125,2025-06-14,Cliente_016,Teclado,Perifericos,Sul,1.0,102.65
126,2025-06-23,cliente#008,Smartphone,Celulares,Norte,4.0,1209.9
127,2025-02-12,Cliente_011,Headset,Perifericos,Sudeste,1.0,127.73
128,DATA INVALIDA,Cliente_032,Notebook,Computadores,Norte,5.0,
129,2025-05-16,Cliente_005,Headset,Perifericos,Norte,5.0,164.11
130,2025-07-15,Cliente_011,Mouse,Perifericos,Sudeste,7.0,55.91
131,2025-05-09,Cliente_021,Notebook,Computadores,Sudeste,10.0,2626.44
132,2025-09-11,cliente#037,  Headset  ,Perifericos,Sul,6.0,154.93
133,2025-07-04,Cliente_042,Tablet,Celulares,Sul,9.0,1026.35
134,2025-03-03,Cliente_008,Mouse,Perifericos,Sul,2.0,51.3
135,2025-10-30,Cliente_021,Headset,Perifericos,Sul,9.0,146.0
136,2025-09-04,Cliente_014,Monitor,Computadores,Sul,10.0,778.38
137,2025-10-28,Cliente_039,  Tablet  ,Celulares,Norte,8.0,1126.07
138,2025-09-25,Cliente_048,Headset,Perifericos,Centro-Oeste,7.0,138.83
139,2025-02-10,Cliente_011,Monitor,Computadores,Norte,8.0,824.0
140,2025-04-28,Cliente_017,Monitor,Computadores,Centro-Oeste,6.0,793.08
141,2025-01-26,Cliente_038,Monitor,Computadores,Norte,9.0,768.82
142,2025-01-18,Cliente_038!!,Notebook,Computadores,Norte,8.0,2438.55
143,2025-01-10,Cliente_011,Teclado,Perifericos,Nordeste,1.0,114.45
144,2025-04-23,Cliente_046,Smartphone,Celulares,Sudeste,4.0,1215.91
145,2025-09-26,Cliente_037,Teclado,Perifericos,Norte,3.0,105.84
146,2025-11-07,Cliente_026,Notebook,Computadores,Centro-Oeste,1.0,2684.03
147,2025-02-22,Cliente_023,Headset,Perifericos,Sudeste,1.0,130.4
148,2025-11-23,Cliente_030,Smartphone,Celulares,Nordeste,4.0,1151.71
149,2025-11-01,Cliente_044,Smartphone,Celulares,Centro-Oeste,8.0,1158.84
150,2025-02-23,Cliente_048,Tablet,Celulares,Sul,7.0,850.35
151,2025-07-10,Cliente_029,Tablet,Celulares,Centro-Oeste,6.0,1023.64
152,2025-07-25,Cliente_040,Mouse,Perifericos,Sul,10.0,53.58
153,2025-05-29,Cliente_004,Monitor,Computadores,Sudeste,6.0,888.3
154,2025-10-31,Cliente_015,Smartphone,Celulares,Nordeste,4.0,1162.31
155,2025-02-23,Cliente_024,Teclado,Perifericos,Sul,10.0,96.12
156,2025-02-17,Cliente_013,Smartphone,Celulares,Norte,10.0,1162.95
157,2025-05-29,Cliente_050,Notebook,Computadores,Norte,3.0,2643.81
158,2025-11-09,Cliente_003,Monitor,Computadores,Sudeste,,894.2
159,2025-07-16,Cliente_049,Headset,Perifericos,Nordeste,3.0,155.38
160,DATA INVALIDA,Cliente_050,Smartphone,Celulares,Sudeste,6.0,1190.54
161,2025-02-23,Cliente_046,Smartphone,Celulares,Centro-Oeste,7.0,1292.71
